Gene	HC11	HC12	HC13	HC14	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82
AKR1E2	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1
AKR1C1	0	0	0	0	6	2	0	1	0	1	1	196	4	3	0	0
AKR1C2	1	0	0	0	1	0	11	14	0	0	0	72	0	15	0	0
AKR1C3	24	17	6	9	36	31	37	54	37	23	75	21	0	2	3	3
AKR1CL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBAL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NET1	16	11	7	35	24	29	47	64	48	63	19	338	17	34	74	13
CALML5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB13	4	5	4	8	2	3	2	6	2	9	0	5	0	2	4	1
FAM208B	3	4	0	9	22	3	7	8	6	5	13	4	0	10	0	9
GDI2	732	471	166	490	332	316	1206	875	698	1565	859	1619	137	648	588	500
ANKRD16	2	1	1	3	2	0	4	1	1	1	5	4	0	0	3	0
FBXO18	39	28	8	68	34	56	96	90	24	91	67	123	15	59	29	15
IL15RA	1	8	5	13	54	29	7	21	5	22	59	24	0	21	6	6
IL2RA	7	12	3	18	49	91	24	41	11	51	44	55	0	10	8	34
RBM17	79	99	199	330	333	337	321	491	253	381	372	571	52	243	226	181
PFKFB3	234	347	160	597	1414	3142	1127	3058	1191	4369	5267	12090	398	1764	2796	5500
DKFZP667F0711	1	0	0	0	3	2	1	0	0	0	1	3	0	1	0	0
PRKCQ	126	129	79	109	148	86	154	99	36	63	196	97	21	18	13	66
SFMBT2	44	64	14	80	166	228	118	173	31	44	155	61	25	49	37	142
ITIH5	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
ITIH2	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0
KIN	7	7	6	13	17	17	10	18	5	16	24	11	10	12	8	7
ATP5C1	40	32	29	90	180	76	161	124	57	97	99	97	20	95	39	58
TAF3	13	12	10	28	42	42	39	46	6	29	48	34	12	17	4	5
GATA3	105	75	55	164	182	157	95	126	22	69	119	259	5	12	5	85
CELF2	241	195	187	736	1249	892	429	958	226	615	1076	962	118	698	341	301
USP6NL	8	6	8	16	2	22	26	13	17	40	15	24	4	13	3	23
ECHDC3	0	3	0	8	6	0	3	8	13	2	3	4	14	38	3	0
PROSER2	3	7	8	14	4	4	13	1	2	19	7	95	3	26	19	11
UPF2	14	3	2	16	12	15	20	46	13	38	32	27	6	19	9	10
DHTKD1	76	74	26	41	46	38	129	71	58	135	87	179	40	105	46	82
SEC61A2	0	0	2	10	20	11	5	7	2	3	4	23	0	3	1	6
NUDT5	12	11	7	15	43	21	28	36	16	23	29	45	16	14	11	13
CDC123	26	15	19	62	65	62	67	59	49	115	103	266	8	54	46	37
CAMK1D	80	50	45	125	148	111	70	93	40	98	113	247	27	45	10	12
CCDC3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
OPTN	145	141	108	229	237	170	277	246	89	229	468	454	22	90	30	101
MCM10	0	1	2	1	1	1	10	14	4	9	5	24	0	6	14	2
UCMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHYH	1	5	4	16	9	8	9	17	4	25	10	67	5	7	4	3
SEPHS1	55	27	11	58	45	42	103	70	45	87	83	114	28	66	29	61
BEND7	0	0	2	0	1	0	0	2	0	2	0	11	0	10	12	0
PRPF18	21	16	4	30	33	17	22	38	11	39	18	32	9	19	22	24
RP11-295P9.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FRMD4A	0	3	6	10	7	4	4	1	3	1	0	2	0	14	7	3
FAM107B	161	82	116	280	493	523	436	515	156	394	490	584	38	709	926	340
CDNF	2	0	1	1	1	0	0	2	1	0	1	0	0	0	0	0
HSPA14	13	18	12	24	64	16	37	44	14	47	29	38	10	19	22	22
SUV39H2	4	2	4	11	9	1	6	2	1	4	2	8	0	1	3	7
DCLRE1C	51	48	22	34	58	42	78	65	24	99	64	57	27	37	32	44
MEIG1	0	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0
OLAH	0	0	3	0	0	0	0	0	11	0	0	1	0	10	5	0
ACBD7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf111	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
RPP38	22	14	3	11	12	9	17	6	5	14	11	1	0	9	2	5
NMT2	22	19	12	30	19	10	12	15	5	8	26	31	13	6	7	2
FAM171A1	14	15	2	12	6	9	21	26	2	7	18	14	0	1	4	15
ITGA8	1	1	0	0	0	0	3	2	0	0	0	0	0	0	0	3
FAM188A	5	3	2	22	45	21	17	22	11	21	28	35	5	16	18	11
PTER	2	7	10	16	27	23	22	40	17	34	31	40	5	16	2	6
C1QL3	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0
RSU1	37	12	18	70	109	86	43	114	34	93	92	88	8	101	79	54
CUBN	1	1	3	1	0	1	1	2	3	0	1	0	0	0	0	0
TRDMT1	0	1	4	9	10	9	1	4	2	11	10	12	1	7	3	5
VIM	204	126	267	870	2492	976	862	1290	841	1362	847	1179	85	1197	1181	608
ST8SIA6	0	0	1	2	0	1	2	0	1	0	1	3	0	3	0	0
PTPLA	1	4	0	1	3	1	10	2	2	6	0	19	9	12	14	2
STAM	6	3	3	23	26	23	16	20	9	30	20	26	5	16	24	11
TMEM236	0	2	0	0	0	1	0	0	0	0	0	1	0	2	0	0
MRC1L1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
MRC1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	2
SLC39A12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB2	0	1	7	2	9	2	1	6	1	7	7	6	0	2	2	2
NSUN6	7	1	3	7	14	8	6	7	6	9	12	20	0	7	3	2
ARL5B	4	5	3	58	189	254	60	166	43	91	252	339	5	44	46	38
MALRD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXDC2	33	26	46	134	284	132	93	204	117	340	99	339	43	127	53	81
NEBL	184	187	69	250	223	164	304	371	138	311	405	290	23	193	378	149
C10orf113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CASC10	1	0	8	1	1	0	0	1	0	1	0	10	0	0	0	0
SKIDA1	0	0	2	0	0	1	4	0	0	0	0	0	0	0	0	0
MLLT10	8	10	11	29	70	27	25	51	9	37	38	52	6	24	26	18
DNAJC1	45	42	24	74	77	76	62	65	13	44	94	158	7	25	24	34
EBLN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMMD3	87	84	12	68	42	24	156	81	61	116	63	96	38	69	43	61
COMMD3-BMI1	0	0	0	4	2	3	0	2	0	0	2	0	0	0	0	0
BMI1	62	57	30	91	85	74	101	104	32	109	159	154	15	26	34	32
SPAG6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0
PIP4K2A	146	136	280	367	430	350	339	585	264	524	819	641	35	232	170	146
ARMC3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MSRB2	28	27	15	44	134	37	47	70	33	117	70	88	28	45	45	66
PTF1A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C10orf115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf67	0	0	1	0	0	2	3	0	0	0	0	2	0	1	0	0
OTUD1	16	19	8	32	256	167	211	183	41	146	203	163	20	35	132	236
KIAA1217	0	2	0	2	4	0	2	3	0	6	3	6	0	3	0	1
ARHGAP21	53	82	3	46	23	53	81	71	53	75	69	52	17	62	52	44
PRTFDC1	0	6	0	0	0	2	1	0	2	0	0	17	0	0	0	5
ENKUR	0	0	4	2	2	3	5	11	1	3	1	2	3	2	0	0
THNSL1	2	0	0	0	2	1	0	2	1	2	1	2	0	0	0	1
GPR158	0	2	0	0	0	0	2	0	1	0	0	0	1	1	0	0
MYO3A	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1
GAD2	0	0	6	2	0	0	4	4	0	1	1	2	1	4	3	1
APBB1IP	9	5	59	88	308	109	104	188	82	203	165	165	5	108	86	43
PDSS1	0	0	0	0	3	1	0	5	0	1	4	2	0	0	0	3
ABI1	40	46	36	107	162	133	138	154	57	160	171	159	36	134	108	40
ANKRD26	1	5	2	3	0	4	13	0	3	3	2	4	0	0	0	8
YME1L1	22	12	25	91	263	116	122	137	49	173	178	207	15	65	66	41
MASTL	3	0	2	7	23	13	10	19	2	4	18	20	0	7	3	2
ACBD5	23	23	2	24	26	30	36	32	14	23	37	27	14	18	16	22
PTCHD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB18	52	42	30	114	196	120	135	139	81	283	211	215	35	253	222	136
MKX	0	1	1	0	8	4	0	0	1	1	2	11	0	0	1	3
ARMC4	0	0	6	0	2	0	0	0	0	0	0	0	0	1	0	0
MPP7	26	36	14	41	48	35	35	42	30	54	27	23	3	51	44	32
WAC	485	405	178	858	1114	914	1161	1071	541	1176	1286	1296	230	1041	687	681
BAMBI	0	0	0	0	0	1	0	0	9	0	0	30	0	2	0	0
C10orf126	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LYZL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVIL	1	5	3	7	43	8	15	17	6	32	12	55	1	23	26	7
KIAA1462	0	0	0	0	0	1	1	0	0	0	0	20	0	0	0	0
MTPAP	11	10	7	35	55	38	19	54	30	51	37	39	7	37	15	11
MAP3K8	112	102	227	346	986	976	587	725	508	617	1638	1513	32	437	947	662
LYZL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF438	16	12	5	18	17	15	36	70	33	91	39	59	8	41	26	27
ZEB1	0	4	7	20	43	36	17	30	5	16	16	83	0	8	17	3
ARHGAP12	104	101	46	130	155	115	148	132	67	163	230	221	73	99	94	108
KIF5B	128	100	18	109	145	126	254	213	100	231	155	204	85	195	239	234
EPC1	93	87	160	291	432	353	217	331	132	275	406	349	30	232	96	107
CCDC7	0	5	2	9	5	7	7	9	0	2	10	9	0	1	1	3
C10ORF68	7	0	0	1	4	6	0	0	1	0	0	0	0	1	0	2
ITGB1	39	27	7	63	73	60	140	89	34	50	91	158	13	40	15	33
NRP1	3	1	1	1	11	1	3	8	0	1	2	38	0	0	0	3
PARD3	0	0	1	3	0	0	1	0	0	1	2	70	0	0	2	0
CUL2	0	8	9	21	49	17	16	23	8	26	39	13	1	13	12	4
CREM	23	32	13	39	151	150	53	72	26	28	61	131	11	16	9	17
CCNY	139	98	169	307	325	295	429	350	247	715	379	416	73	303	216	276
GJD4	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2
FZD8	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	0
NAMPTL	11	8	2	34	245	131	119	181	89	105	68	459	6	80	81	72
ANKRD30A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTRNR2L7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF248	3	7	12	10	0	1	17	7	2	3	14	15	1	8	4	11
ZNF25	6	4	1	15	24	29	21	28	11	23	55	19	3	19	9	15
ZNF33A	22	29	92	74	144	87	75	53	39	97	109	254	28	60	19	13
ZNF37A	24	29	21	61	108	52	43	59	29	64	110	96	13	39	15	35
LINC00999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF33B	9	13	19	40	12	14	29	10	8	28	39	20	7	15	17	32
BMS1	72	84	31	136	84	121	243	206	118	221	256	163	34	99	97	84
RET	3	4	2	1	2	1	0	0	1	0	0	1	0	1	1	4
CSGALNACT2	59	41	14	90	152	167	148	231	124	193	141	73	21	423	221	69
RASGEF1A	18	7	2	7	22	11	19	14	14	10	24	14	1	20	11	2
FXYD4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
HNRNPF	346	272	106	262	497	279	518	560	254	438	441	467	328	434	627	854
ZNF487	0	0	0	3	1	2	0	0	8	8	0	2	0	0	0	0
ZNF239	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
ZNF485	0	0	0	1	1	0	3	3	0	0	0	1	0	0	0	0
ZNF32	24	17	3	17	12	13	20	15	7	17	31	9	2	7	1	1
CXCL12	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
TMEM72	1	0	0	1	0	1	2	0	0	0	1	0	0	3	0	0
RASSF4	283	172	58	129	142	90	150	178	113	284	220	172	146	91	34	105
C10orf10	0	0	0	2	5	5	1	1	2	5	5	8	0	0	0	0
C10orf25	1	0	2	2	1	0	2	1	5	5	5	9	0	5	4	3
ZNF22	39	26	19	72	72	90	76	91	36	55	118	78	20	44	66	26
OR13A1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ALOX5	34	36	27	115	332	87	146	124	113	325	152	194	43	259	209	69
8-Mar	105	84	46	83	155	117	143	122	66	126	192	178	77	153	69	76
ZFAND4	4	1	1	16	24	5	5	9	1	9	10	6	17	4	7	4
FAM21C	15	2	18	69	15	24	92	48	85	66	110	125	1	28	18	10
FAM25E	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AGAP4	0	0	0	1	0	0	0	0	0	2	1	2	0	0	0	0
PTPN20A	0	0	5	1	0	0	2	0	0	0	0	1	0	0	0	1
SYT15	1	1	1	1	0	1	1	1	1	0	2	3	0	0	0	0
GPRIN2	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0
NPY4R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA8L1	0	0	0	1	2	2	0	3	0	1	0	0	0	2	1	0
FAM25B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ANTXRL	0	0	0	0	0	0	2	1	0	0	0	1	0	2	3	0
ANXA8L2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
AL603965.1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
FAM21B	1	0	1	1	1	1	2	4	7	21	3	2	0	2	2	0
ASAH2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP9	0	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0
FAM25G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA8	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0
AL591684.1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ZNF488	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
RBP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDF10	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0
PTPN20B	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
FAM25C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRMPD2	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0
MAPK8	19	17	11	31	58	23	32	44	23	30	32	45	7	25	11	36
ARHGAP22	2	4	0	0	17	0	4	3	0	3	1	1	9	3	0	4
WDFY4	29	34	22	30	74	50	45	47	30	98	73	57	36	73	14	26
LRRC18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VSTM4	0	0	1	0	2	0	3	0	1	1	0	0	0	2	0	4
FAM170B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf128	88	42	34	37	62	34	130	59	36	25	89	66	26	67	32	47
C10orf71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRGX	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
ERCC6	13	2	3	6	5	8	17	16	4	9	14	9	5	6	0	0
PGBD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC6-PGBD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHAT	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
SLC18A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf53	1	0	0	1	2	0	0	3	1	3	1	1	0	1	0	0
OGDHL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARG	3	10	1	5	17	7	16	22	11	13	17	20	0	3	4	2
FAM21D	0	0	0	1	0	1	2	2	0	0	4	4	0	1	2	0
AGAP8	0	0	1	1	2	5	0	2	0	0	2	1	0	0	0	0
TIMM23B	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
AGAP7	0	1	0	0	4	0	0	4	0	1	2	3	0	2	1	0
MSMB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NCOA4	36	14	53	221	459	283	228	436	347	798	563	826	9	386	255	97
TIMM23	1	0	14	13	71	17	18	34	6	38	25	32	0	17	18	4
AGAP6	2	4	1	4	11	2	4	3	5	9	10	6	1	2	2	2
FAM21A	13	10	9	28	37	25	36	31	36	54	58	32	6	18	27	27
ASAH2	0	0	1	6	1	5	0	1	0	2	2	3	0	4	3	1
SGMS1	12	18	3	12	36	31	34	43	18	33	28	24	22	19	17	49
AC069547.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC069547.2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
ASAH2B	3	0	0	2	3	2	1	8	3	2	0	1	0	1	1	0
A1CF	0	1	5	5	2	1	1	3	1	0	1	72	1	0	0	0
PRKG1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0
CSTF2T	47	28	72	43	243	42	56	46	37	79	71	51	23	23	10	24
DKK1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
MBL2	0	0	0	1	0	1	0	2	6	1	1	5	1	1	0	1
PCDH15	0	0	2	0	2	0	1	1	0	1	1	0	0	2	1	0
MTRNR2L5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZWINT	1	1	8	4	13	12	64	79	29	44	19	99	0	27	68	38
IPMK	57	42	51	213	216	175	201	360	335	509	322	772	13	255	174	116
CISD1	12	11	6	22	41	22	51	45	14	44	39	117	9	19	20	22
UBE2D1	20	31	8	30	211	132	73	113	49	165	136	109	13	78	85	123
TFAM	27	23	12	38	47	42	55	59	16	41	50	22	12	32	30	29
BICC1	2	0	2	0	0	0	0	5	0	0	0	30	0	0	3	0
PHYHIPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM13C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC16A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC6	135	91	39	158	71	98	237	178	140	196	191	151	28	138	88	73
C10orf40	1	3	3	0	0	3	1	0	0	0	3	1	0	1	1	0
ANK3	4	9	14	14	30	22	20	21	3	21	12	53	0	3	2	1
CDK1	2	3	0	0	11	12	35	31	18	14	18	112	0	36	65	15
RHOBTB1	11	12	3	6	7	8	15	13	1	3	3	22	10	7	6	10
TMEM26	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0
C10orf107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID5B	4	4	20	45	78	83	40	45	11	56	43	67	1	24	6	17
RTKN2	4	3	2	18	25	28	8	26	7	28	23	32	1	6	1	2
ZNF365	14	1	8	2	13	4	4	19	3	8	11	1	0	1	0	0
ADO	53	27	13	23	66	50	69	56	23	31	29	37	13	22	37	18
EGR2	6	3	14	8	91	28	98	136	10	77	8	16	37	19	15	9
NRBF2	154	75	10	45	30	36	107	52	42	65	39	71	66	79	104	95
JMJD1C	30	31	15	53	169	73	100	135	36	111	56	115	20	43	32	53
REEP3	15	14	17	18	71	21	37	40	27	36	30	46	5	56	24	16
CTNNA3	0	0	1	1	0	1	1	0	0	2	0	1	0	0	0	0
LRRTM3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
DNAJC12	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SIRT1	23	22	9	64	55	49	46	58	19	42	45	79	0	43	28	30
HERC4	30	44	15	76	54	60	148	171	57	135	233	171	28	53	74	81
MYPN	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ATOH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBLD	1	0	2	2	4	3	2	4	4	7	4	4	1	2	0	3
HNRNPH3	176	172	602	528	1378	514	580	847	428	852	770	899	80	340	414	248
RUFY2	6	4	1	15	60	32	17	21	1	23	46	43	1	13	20	8
DNA2	0	0	0	2	2	1	9	8	4	0	8	1	5	2	4	5
SLC25A16	16	12	10	45	58	49	36	58	39	60	72	47	0	32	27	13
TET1	0	0	0	1	0	2	1	1	1	1	1	3	0	0	0	0
CCAR1	72	89	64	229	222	239	233	291	91	238	214	239	75	113	123	127
STOX1	0	0	0	1	0	0	2	3	0	0	0	0	0	2	1	0
DDX50	84	103	44	151	102	145	224	206	116	229	282	443	57	109	99	103
DDX21	335	248	120	448	800	778	1300	1028	561	1060	902	1321	227	443	664	651
KIAA1279	2	13	0	3	4	4	4	5	1	2	6	3	0	2	3	2
SRGN	401	391	655	1484	8636	3383	3129	3795	1909	6237	5345	11345	599	7515	16518	3213
VPS26A	23	24	9	50	89	60	48	78	44	82	86	94	7	53	30	32
SUPV3L1	8	3	0	1	0	3	13	8	1	3	5	3	9	1	10	8
HKDC1	30	12	8	29	5	2	57	29	2	21	8	19	0	4	3	22
HK1	176	158	219	345	470	309	582	452	781	2043	1261	1022	97	840	494	338
TACR2	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0
TSPAN15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEUROG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf35	0	2	2	4	5	4	5	7	0	1	3	6	0	0	0	3
RP11-242G20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL13A1	2	1	2	1	0	3	3	1	1	2	5	6	0	0	2	0
H2AFY2	5	3	0	11	12	11	22	31	10	10	14	42	0	7	5	18
AIFM2	2	6	4	3	6	4	10	6	15	12	11	14	0	2	1	0
TYSND1	18	20	7	22	36	6	34	18	17	29	39	36	10	4	9	24
SAR1A	158	168	64	141	272	196	391	231	157	276	265	436	224	146	147	324
PPA1	17	17	2	22	80	25	55	58	23	31	34	113	12	21	20	21
NPFFR1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
LRRC20	3	0	0	1	3	1	10	3	1	5	4	5	0	5	0	0
EIF4EBP2	304	212	86	243	282	187	402	370	212	430	335	540	99	338	357	206
NODAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC022532.1	0	0	0	0	0	2	2	0	0	0	1	4	0	0	0	0
PALD1	0	0	3	0	7	1	0	0	0	1	1	0	0	0	0	4
PRF1	392	433	67	311	499	345	399	727	168	156	1419	245	157	64	24	330
ADAMTS14	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	1
TBATA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGPL1	25	16	15	35	58	35	34	47	13	46	50	30	14	32	22	37
PCBD1	7	2	3	7	24	8	7	26	2	19	21	34	0	7	15	7
UNC5B	0	0	2	0	0	0	0	1	0	2	1	16	0	5	0	0
SLC29A3	15	11	8	4	11	8	9	21	20	34	36	93	8	10	3	0
CDH23	41	50	5	50	38	44	60	34	54	66	31	84	9	34	12	75
C10orf105	1	2	2	7	5	3	5	2	5	6	3	7	0	3	0	1
C10orf54	297	214	296	423	810	286	576	712	657	2022	663	1057	187	853	513	400
PSAP	10271	7134	36188	7579	24607	8624	17419	20786	24598	36821	29376	38250	3791	13581	8308	12350
CHST3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0
SPOCK2	263	199	451	951	1402	763	733	789	274	639	909	1513	17	112	39	145
ASCC1	29	39	9	43	32	50	89	69	153	86	86	111	8	92	78	37
ANAPC16	93	69	115	127	286	66	125	113	78	205	194	129	42	111	72	52
DDIT4	21	23	52	112	987	336	167	514	268	1178	741	1124	19	984	143	99
DNAJB12	40	30	25	49	178	55	77	103	87	146	82	107	16	61	35	39
MICU1	13	14	11	38	71	49	73	86	53	136	112	100	0	53	38	22
MCU	3	2	36	33	30	17	19	68	49	122	72	239	2	150	168	17
OIT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G12B	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
P4HA1	109	86	10	29	30	36	90	76	24	51	52	368	62	41	94	124
NUDT13	1	0	0	1	4	3	1	2	1	3	0	2	0	1	2	2
ECD	5	9	1	22	62	31	18	23	10	24	24	17	4	24	24	14
FAM149B1	21	18	4	29	20	18	54	45	20	44	43	79	8	19	18	19
DNAJC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS16	86	49	64	87	92	59	164	95	76	134	109	230	23	66	70	92
TTC18	2	0	0	1	1	4	1	0	1	3	1	1	2	0	0	2
ANXA7	8	13	15	61	101	82	75	189	63	157	123	103	9	83	69	40
MSS51	6	2	1	5	10	7	6	4	9	18	23	4	0	2	14	7
PPP3CB	73	69	25	102	83	69	167	150	90	250	230	192	17	104	91	85
USP54	0	1	3	1	1	2	1	1	1	2	4	2	0	2	0	1
MYOZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNPO2L	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0
AGAP5	2	0	0	0	3	1	1	1	0	1	0	2	0	1	1	0
SEC24C	27	36	71	110	179	121	114	205	69	292	326	243	11	111	95	27
FUT11	0	0	0	6	1	6	1	1	1	4	4	11	0	3	3	2
CHCHD1	31	22	6	22	101	14	51	33	13	37	40	22	3	8	16	12
ZSWIM8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
RP11-574K11.31	0	2	1	11	36	18	3	9	9	26	21	9	0	2	0	1
NDST2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2G	16	9	11	14	42	16	10	20	16	31	24	31	2	19	14	8
PLAU	1	0	0	8	29	20	6	1	1	1	10	72	0	20	26	0
C10orf55	0	0	3	0	4	5	3	0	0	0	1	14	0	1	0	2
VCL	123	118	74	158	174	107	187	378	240	416	356	194	114	362	264	101
AP3M1	6	5	2	7	34	9	17	21	12	38	29	45	5	17	13	6
ADK	12	11	12	24	46	21	18	10	24	33	15	33	0	21	15	14
KAT6B	13	12	25	98	55	58	57	64	49	92	118	140	4	54	41	22
DUSP13	0	0	0	1	3	1	4	0	3	2	0	53	0	80	74	0
SAMD8	5	4	5	65	72	49	42	61	37	62	49	76	9	56	54	34
VDAC2	114	73	22	114	234	111	231	261	132	278	186	438	56	148	151	150
COMTD1	49	42	2	20	29	17	58	30	56	89	65	68	31	51	57	42
ZNF503	1	3	11	9	71	19	14	29	11	24	14	6	5	18	3	6
C10orf11	5	3	4	8	14	4	6	12	13	19	6	10	0	12	30	4
KCNMA1	0	13	4	6	2	6	1	11	4	14	11	0	1	2	0	11
DLG5	6	12	14	6	11	8	15	23	4	1	20	36	3	1	3	5
AL391421.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR3A	17	28	13	27	50	18	33	33	14	29	58	77	25	20	15	17
RPS24	17199	13457	5616	14943	5868	5576	22312	10088	14275	18207	8655	21345	5949	7477	11492	17651
ZMIZ1	32	18	11	44	185	100	46	71	32	78	63	30	6	39	27	42
PPIF	121	111	112	167	1270	951	1611	695	205	479	503	1418	62	226	387	220
ZCCHC24	21	4	7	10	44	10	13	8	5	24	14	25	8	9	9	6
AL133481.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF5AL1	23	17	10	53	168	83	41	54	14	51	54	67	10	39	37	32
